"call","grant_type","domain","area","sub_area","reference","title","main_researcher","institution","requested_funds","awarded_funds","feder_funding"
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0376/2012","A função dos canais sensiveis a glutamato (GLR) em tubos polinicos","José Alberto Bernardo de Magalhães Feijó","Fundação Calouste Gulbenkian (FCG)",199848,199848,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0468/2012","Terminação da transcrição e a função da RNA polimerase II na poliadenilação alternativa","Maria Alexandra Marques Moreira Mourão Carmo","Instituto de Biologia Molecular e Celular (IBMC/UP)",129035,129035,109679.75
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0493/2012","Quando os espermatezoids se esqueçem","Odete Abreu Beirão da Cruz e Silva","Universidade de Aveiro (UA)",200000,200000,170000
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/0654/2012","Actina e miosina II no anel contractil - mechanismos de contração","Ana Costa Xavier de Carvalho","Instituto de Biologia Molecular e Celular (IBMC/UP)",199771,199771,169805.35
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia Celular e Molecular","PTDC/BEX-BCM/1217/2012","Mecanismos de regulação pós-transcripcional do factor de transcrição XBP1: um potencial modulador de patologias associadas a UPR","Maria Fátima Afonso Cairrão","Instituto de Tecnologia Química e Biológica (ITQB/UNL)",138220,138220,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Biologia do Desenvolvimento","PTDC/BEX-BID/1176/2012","Regulação do crescimento de tecidos durante a regeneração em zebrafish","António Alfredo Coelho Jacinto","Faculdade de Ciências Médicas (FCM/UNL)",198504,198504,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biologia Experimental","Biologia Experimental - Genética e Genómica ","PTDC/BEX-GMG/0242/2012","Avaliação do papel da proteólise no sistema reprodutor masculino através do estudo dos agrupamentos génicos de KLK (19q13.4) e WFDC (20q13).","Susana Alves Seixas","Instituto de Patologia e Imunologia Molecular (IPATIMUP/UP)",199980,199980,169983
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0282/2012","Bases moleculares da remoção de agregados proteicos em doenças de agregação de proteínas","Maria João Gameiro de Mascarenhas Saraiva","Instituto de Biologia Molecular e Celular (IBMC/UP)",191265,191265,162575.25
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0650/2012","Estudo Portugues de miocardiopatias dilatadas familiares","Elisabete Lousada Martins de Oliveira Bernardes","Sociedade Portuguesa de Cardiologia (SPC)",114770,114770,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0651/2012","Estudo da contribuição dos miRNAs para o metabolismo do peptídeo b-amilóide: desenvolvimento de uma plataforma lentiviral para expressão de múltiplos miRNAs no contexto da doença de Alzheimer","Ana Luísa Colaço Cardoso","Centro de Neurociências e Biologia Celular (CNBC/UC)",124800,100800,85680
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0873/2012","Com o miR-21 e os receptores ativados pelos ácidos biliares em mira na patogénese do fígado gordo não alcoólico: duas balas para um homicídio?","Rui Eduardo Mota Castro","FARM-ID, Associação da Faculdade de Farmácia para a Investigação e Desenvolvimento (FARM-ID)",172323,152000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0913/2012","Do controlo da neuroinflamação à neuroproteção: bloqueio dos receptores A2A para o tratamento do glaucoma","Ana Raquel Sarabando Santiago","Universidade de Coimbra (UC)",159832,159832,135857.2
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/0998/2012","Novos microRNAs envolvidos no processo de remodelagem reversa após remoção da sobrecarga ventricular: potenciais alvos terapêuticos e biomarcadores","Inês Maria Falcão Sousa Pires Marques","Faculdade de Medicina da Universidade do Porto (FM/UP)",94012,94012,79910.2
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/1051/2012","Estudo de estirpes ulcerogénicas de Helicobacter pylori isoladas de crianças: contributo para o conhecimento da patógenese da úlcera péptica pediátrica.","Mónica Alexandra Sousa Oleastro","Pró-INSA, Associação para a Promoção da Investigação em Saúde (Pró-INSA/INSARJ)",74429,74429,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Mecanismos da Doença","PTDC/BIM-MEC/1168/2012","Novos conhecimentos sobre o mecanismo de calcificação vascular em doença renal crónica (DRC): o papel da GRP","Carla Alexandra São Bento Viegas","Centro de Ciências do Mar (CCMar/CIMAR)",155177,155177,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/0251/2012","Modulação da Via Apoptótica Mitocondrial para Estimular a Diferenciação Neural","Susana Zeferino Solá da Cruz","FARM-ID, Associação da Faculdade de Farmácia para a Investigação e Desenvolvimento (FARM-ID)",140068,105000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/0352/2012","Regulação da expressão génica da eritropoietina humana por uma pequena grelha de leitura e isquémia do miocardio","Luisa Maria Ferreira Romão Loison","Fundação da Faculdade de Ciências (FFC/FC/UL)",139928,110000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1047/2012","Terapia baseada no receptor Y1 para reparação óssea: comportamento do antagonista e libertação no microambiente ósseo danificado","Meriem Lamghari Moubarrad","Instituto Nacional de Engenharia Biomédica (INEB Porto)",180926,180926,153787.1
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1063/2012","Cronobiologia das Células Estaminais Mesenquimatosas Humanas: Estudo da interligação entre o relógio circadiano e o relógio embrionário","Isabel Maria Mestre Marques Palmeirim de Alfarra Esteves","Universidade do Algarve (UAlg)",175467,130000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1118/2012","Plataformas combinatoriais para promover a sobrevivência celular- PROSURVIVAL","Hugo Agostinho Machado Fernandes","Centro de Neurociências e Biologia Celular (CNBC/UC)",166344,130000,110500
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Medicina Regenerativa","PTDC/BIM-MED/1375/2012","Estudo de mecanismos celulares da regeneração da medula espinal em peixe zebra e a sua modelação com a idade","Maria Leonor Tavares Saúde","Instituto de Medicina Molecular (IMM/FM/UL)",181199,181199,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Metabolismo e Nutrição","PTDC/BIM-MET/0486/2012","CD26/DPP4 na progressão da patologia do fígado gordo: como a inflamação interfere no (dis)metabolismo.","Maria Paula Borges de Lemos Macedo","Faculdade de Ciências Médicas (FCM/UNL)",199888,172888,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Metabolismo e Nutrição","PTDC/BIM-MET/0739/2012","Avaliação da contribuição da sobrecarga de ferro para a doença não-alcoólica do fígado gordo: identificação de intervenientes celulares e de potenciais alvos terapêuticos moleculares","Tiago Pereira de Lacerda Costa Duarte","Instituto de Biologia Molecular e Celular (IBMC/UP)",190448,186948,158905.8
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Metabolismo e Nutrição","PTDC/BIM-MET/1604/2012","Perfis moleculares dos neurónios AGRP e hiperfagia","Ana Domingos","Fundação Calouste Gulbenkian (FCG)",198954,181954,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Oncobiologia","PTDC/BIM-ONC/0171/2012","Mutações da Caderina-E e Novos Interactores no Cancro (MECANIC). O papel da caderina-E mutada na interação integrina-matriz extracelular no cancro gástrico.","Maria Raquel Campos Seruca","Instituto de Patologia e Imunologia Molecular (IPATIMUP/UP)",199566,199566,169631.1
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Oncobiologia","PTDC/BIM-ONC/0384/2012","SETD2 regula um novo mecanismo supressor de tumores que está alterado no carcinoma renal de células claras","Sérgio Alexandre Fernandes de Almeida","Instituto de Medicina Molecular (IMM/FM/UL)",184516,184516,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Oncobiologia","PTDC/BIM-ONC/0979/2012","Uma nova inspiração no cancro do pulmão: nanopartículas direcionadas para EGFR como transportador para terapia fotodinâmica","Maria Filomena Rabaça Roque Botelho","Universidade de Coimbra (UC)",161200,161200,137020
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Oncobiologia","PTDC/BIM-ONC/1242/2012","Metaboloma do Liquido Cefalorraquidiano: instrutivo para a formação de metastases no sistema nervoso central","Tânia Gilot Mendes de Carvalho Barão","Instituto de Medicina Molecular (IMM/FM/UL)",199272,199272,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Oncobiologia","PTDC/BIM-ONC/1338/2012","Cis-regulação de mutações somáticas nos cancros da mama e do ovário","Ana Teresa Luís Lopes Maia","Universidade do Algarve (UAlg)",136157,136157,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Biomedicina","Biomedicina - Oncobiologia","PTDC/BIM-ONC/1548/2012","Conversas cruzadas entre miRNAs e TAL1? Novas perspectivas sobre a regulação e função de um dos principais oncogenes de células T","João Pedro Taborda Barata","Instituto de Medicina Molecular (IMM/FM/UL)",125797,125797,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/0207/2012","Clearance da insulina (des)regulação: clarificação do mistério.","Maria Paula Borges de Lemos Macedo","Faculdade de Ciências Médicas (FCM/UNL)",199288,199288,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/0412/2012","Prevalência e custos da deficiência visual em Portugal: um estudo hospitalar","António Filipe Teixeira Macedo","Universidade do Minho (UM)",193066,193066,82053.05
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/0434/2012","Desigualdades no tratamento e outcomes em doença coronária em Portugal","Ana Azevedo Cardoso de Oliveira","Instituto de Saúde Pública da Universidade do Porto (ISPUP/UP)",169509,169509,144082.65
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/0929/2012","Investigação bigenómica translacional na Neuropatia Ótica Hereditária de Leber: Correlação Genótipo-Fenótipo","Maria Manuela Monteiro Grazina","Centro de Neurociências e Biologia Celular (CNBC/UC)",199972,199972,163863
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/1222/2012","Epidemiologia da infeção por norovirus em idosos portugueses: estirpes virais e fatores genéticos do hospedeiro","Claudia Istrate","Instituto de Higiene e Medicina Tropical (IHMT/UNL)",95910,95910,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/1660/2012","Resistência emergente de Candida parapsilosis: vigilância epidemiológica.","Isabel Alexandra Marcos Miranda","Faculdade de Medicina da Universidade do Porto (FM/UP)",86180,86180,73253
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Epidemiologia","PTDC/DTP-EPI/1759/2012","A acção das vacinas conjugadas: alterações da população pneumocócica e as suas consequências genómicas","José Augusto Gamito Melo Cristino","Instituto de Medicina Molecular (IMM/FM/UL)",174533,174533,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/0094/2012","Fighting TB: Desenvolvimento de sistemas microparticulados para vectorização para os macrófagos alveolares na terapêutica da tuberculose","Ana Margarida Moutinho Grenha","Universidade do Algarve (UAlg)",170519,170519,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/0130/2012","Papel fisiopatológico e potencial terapêutico da urocortina 2 na hipertensão pulmonar","Carmen Dulce da Silveira Brás Silva Ribeiro","Faculdade de Medicina da Universidade do Porto (FM/UP)",83098,83098,70633.3
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/0191/2012","Desenvolvimento de um biossensor electroquímico para avaliação da relação estrutura-actividade do proteassoma e identificação de inibidores proteassómicos","Victor Constantin Diculescu","Instituto Pedro Nunes (IPN)",96761,96761,82246.85
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/0265/2012","Estratégia terapêutica combinada baseada na modulação de miRNAs direcionada para glioblastoma multiforme: um novo nanosistema de base lipídica para entrega sistémica","Maria da Conceição Monteiro Pedroso de Lima","Centro de Neurociências e Biologia Celular (CNBC/UC)",139768,99768,84802.8
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/0417/2012","Estudo exploratório dos efeitos tóxicos de misturas de micotoxinas em alimentos para crianças e potencial impato na saúde","Paula Cristina da Cruz Oliveira Soromenho de Alvito","Instituto Nacional de Saúde Dr. Ricardo Jorge (INSARJ)",198903,180000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/0802/2012","Novas perspectivas sobre o papel da sinalização pela adenosina na progressão da hipertensão pulmonar para a insuficiência cardíaca","Ana Patrícia Nunes Fontes de Sousa","Instituto de Ciências Biomédicas Abel Salazar (ICBAS/UP)",121792,121792,103523.2
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/1057/2012","Leites medicinais em pó para administração oral de fármacos em pediatria (MedMilk)","João Fernandes Abreu Pinto","FARM-ID, Associação da Faculdade de Farmácia para a Investigação e Desenvolvimento (FARM-ID)",144168,144168,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/1180/2012","Patofisiologia da Toxicidade Cardíaca Persistente da Doxorubicina: Uma ligação entre Mitocôndria e Epigenetica","Paulo Jorge Gouveia Simões da Silva Oliveira","Centro de Neurociências e Biologia Celular (CNBC/UC)",182184,175000,148750
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Farmacologia e Toxicologia ","PTDC/DTP-FTO/1747/2012","Modelação Farmacocinética/Farmacogenética do tratamento da infecção-VIH por métodos bayesianos e de inteligência artificial","José Augusto Guimarães Morais","Faculdade de Farmácia da Universidade de Lisboa (FF/UL)",162450,140000,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/0154/2012","Mediação hormonal do exercício na cognição, no stress e na imunidade.","Ana Maria Miranda Botelho Teixeira","Universidade de Coimbra (UC)",106408,106408,90446.8
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/0209/2012","Estado de saúde e actividade física da população idosa","José Pedro Arieiro Gonçalves Bezerra","Instituto Politécnico de Viana do Castelo (IPVC)",199528,199528,169598.8
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/0393/2012","Predisposição genética versus efeito do exercício físico regular nos níveis circulantes de adipocitoquinas em adolescentes obesos Portugueses","Luís Filipe Barbosa Amado Belo","Instituto de Biologia Molecular e Celular (IBMC/UP)",93977,93977,79880.45
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/1071/2012","Exercício e cardioproteção - Efeito do exercício voluntário ao longo da vida na toxicidade cardíaca e mitocondrial induzida por terapia anti-cancro","António Alexandre Moreira Ribeiro de Ascensão","Faculdade de Desporto da Universidade do Porto (FADE/UP)",93846,93846,79769.1
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/1246/2012","Efeitos da actividade física ao longo da vida na disfunção cerebral - Relevância dos mecanismos mitocondriais na doença de Alzheimer e no Envelhecimento","António Alexandre Moreira Ribeiro de Ascensão","Faculdade de Desporto da Universidade do Porto (FADE/UP)",95846,95846,81469.1
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/1328/2012","Programa de Intervenção em crianças e adolescentes para promoção da Aptidão Física, Atividade Física e Conhecimentos Alimentares","José Carlos Rodrigues Dias Ribeiro","Faculdade de Desporto da Universidade do Porto (FADE/UP)",128640,128640,109344
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Fisiologia do Exercício e Ciências  do Desporto","PTDC/DTP-DES/1661/2012","Registo de Saúde Electrónico: necessidades, requisitos e barreiras de adopção em fisioterapia","Octavian Adrian Postolache","Instituto de Telecomunicações (IT)",199716,199716,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0239/2012","Inflamação e lesão vascular na obesidade infantil - Impacto no rim","Ana Azevedo Cardoso de Oliveira","Instituto de Saúde Pública da Universidade do Porto (ISPUP/UP)",133675,133675,113623.75
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0370/2012","Identifying Molecular Endpoints for Machado-Joseph disease (MJD/SCA3): evaluation of transcriptional candidate biomarkers in peripheral blood.","Maria Manuela Medeiros Lima","Instituto de Biologia Molecular e Celular (IBMC/UP)",145897,145897,124012.45
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0419/2012","Metodologias não invasivas por ultrassons para caracterização objectiva da catarata in-vivo.","Jaime Batista Santos","Universidade de Coimbra (UC)",107212,107212,82970.2
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0460/2012","Plataforma para o diagnóstico e tratamento da infertilidade masculina baseada em vias de sinalização nos espermatozóides humanos","Margarida Sâncio Da Cruz Fardilha","Universidade de Aveiro (UA)",138624,138624,117830.4
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0508/2012","Expansão de células T reguladoras humanas mediada pelo veneno de himenópteros","Rui Manuel Martins Victorino","Instituto de Medicina Molecular (IMM/FM/UL)",145001,145001,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0747/2012","Tuberculose em pacientes diabéticos: bases biológicas para o aumento das susceptibilidade.","Raquel de Almeida Ferreira Duarte Bessa de Melo","Instituto de Saúde Pública da Universidade do Porto (ISPUP/UP)",193030,193030,164075.5
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0769/2012","Programa de intervenção e-terapêutico para adolescentes obesos e sua família (NEXT.STEP)","Maria Helena Regalo da Fonseca","Associação para a Investigação e Desenvolvimento da Faculdade de Medicina (AIDFM/FM/UL)",77168,77168,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Investigação Clínica","PTDC/DTP-PIC/0904/2012","Glucocerebrosidase na Doença de Parkinson: do factor de risco ao biomarcador","Gabriel Miltenberger-Miltenyi","Instituto de Medicina Molecular (IMM/FM/UL)",171958,171958,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Saúde Pública e Fatores Ambientais","PTDC/DTP-SAP/1078/2012","Fitodesinfetantes - desinfeção de bactérias planctónicas e biofilmes em ambientes hospitalares com produtos fitoquímicos","Manuel José Vieira Simões","Faculdade de Engenharia da Universidade do Porto (FE/UP)",137760,137760,117096
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Diagnóstico, Terapêutica e Saúde Pública","Diagnóstico, Terapêutica e Saúde Pública - Saúde Pública e Fatores Ambientais","PTDC/DTP-SAP/1522/2012","Como a qualidade do ar pode influenciar asma e alergia nas crianças","André Miguel Afonso de Sousa Moreira","Faculdade de Medicina da Universidade do Porto (FM/UP)",197906,197906,123952.95
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Imunologia e Infeção","Imunologia e Infeção - Imunologia e Inflamação","PTDC/IMI-IMU/0158/2012","Análise sistemática da interacção de proteínas da família scavenger ricas em cisteínas com patogéneos ou com o sistema imune do hospedeiro","Alexandre Valentim Xavier Mourão do Carmo","Instituto de Biologia Molecular e Celular (IBMC/UP)",174670,174670,148469.5
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Imunologia e Infeção","Imunologia e Infeção - Microbiologia e Infeção","PTDC/IMI-MIC/0694/2012","Estudo da capacidade das proteínas líticas de micobacteriófagos para destruir o envelope celular de micobactérias","Madalena Maria Vilela Pimentel","Associação para o Desenvolvimento do Ensino e Investigação da Microbiologia (ADEIM)",69090,69090,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Imunologia e Infeção","Imunologia e Infeção - Microbiologia e Infeção","PTDC/IMI-MIC/0828/2012","Virus e Peroxissomas: desvendando a sua interação na saúde e na doença","Daniela Maria Oliveira Gandra Ribeiro","Universidade de Aveiro (UA)",117716,117716,100058.6
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Imunologia e Infeção","Imunologia e Infeção - Microbiologia e Infeção","PTDC/IMI-MIC/1142/2012","Vias celulares envolvidas no transporte do genoma e montagem do virus da gripe","Maria João Lopes Gonçalves de Brito Amorim","Fundação Calouste Gulbenkian (FCG)",166357,166357,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Imunologia e Infeção","Imunologia e Infeção - Microbiologia e Infeção","PTDC/IMI-MIC/1568/2012","Regulação do metabolismo da célula hospedeira pelo parasita da malária no fígado","Ghislain Cabal","Instituto de Medicina Molecular (IMM/FM/UL)",168637,168637,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Neurociências, Envelhecimento e Doenças Degenerativas","Neurociências, Envelhecimento e Doenças Degenerativas - Biologia do Envelhecimento","PTDC/NEU-BEN/0125/2012","Proteostase como elemento de ligação entre vias moduladoras da longevidade e doenças neurodegenerativas","Patricia Espinheira Sá Maciel","Universidade do Minho (UM)",198322,198322,168573.7
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Neurociências, Envelhecimento e Doenças Degenerativas","Neurociências, Envelhecimento e Doenças Degenerativas - Biologia do Envelhecimento","PTDC/NEU-BEN/0156/2012","Modulação da reactividade microglial pelo GDNF: relevância para a protecção dopaminérgica","Graça Maria Fernandes Baltazar","Universidade da Beira Interior (UBI)",112982,112982,96034.7
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Neurociências, Envelhecimento e Doenças Degenerativas","Neurociências, Envelhecimento e Doenças Degenerativas - Biologia do Envelhecimento","PTDC/NEU-BEN/1192/2012","Susceptibilidade genética e impacto social da surdez associada à idade","Maria Helena de Figueiredo Ramos Caria","Fundação da Faculdade de Ciências (FFC/FC/UL)",146616,146616,0
"Concurso 2012","ICDT 2012","Ciências da Vida e da Saúde","Neurociências, Envelhecimento e Doenças Degenerativas","Neurociências, Envelhecimento e Doenças Degenerativas - Degeneração de Orgãos e Sistemas","PTDC/NEU-OSD/0312/2012","O metilfenidato e as alterações na barreira hemato-encefálica numa situação fisiológica e na perturbação de hiperatividade com défice de atenção","Ana Paula Pereira da Silva Martins","Universidade de Coimbra (UC)",134376,134376,114219.6
